episode,score
1,9.0
2,8.7
3,8.8
4,8.3
5,8.4
6,9.3
7,8.9
8,8.7
9,9.3
10,8.4
11,8.3
12,8.4
13,8.9
14,8.7
15,9.2
16,9.2
17,8.6
18,8.9
19,9.3
20,9.3
21,8.6
22,8.7
23,8.5
24,8.3
25,8.7
26,9.3
27,9.6
28,8.8
29,8.5
30,7.8
31,8.5
32,9.5
33,9.7
34,9.2
35,8.3
36,8.1
37,8.7
38,8.7
39,8.5
40,8.9
41,9.3
42,8.9
43,9.6
44,9.7
45,9.5
46,9.9
47,9.3
48,8.9
49,8.9
50,8.9
51,9.7
52,9.1
53,9.6
54,9.6
55,9.5
56,9.2
57,9.6
58,9.2
59,9.8
60,10
61,9.7
62,9.9
