episode,score
1,8.9
2,8.5
3,8.5
4,8.7
5,8.4
6,9.1
7,8.6
8,9.0
9,8.7
10,8.9
11,8.5
12,8.6
13,8.7
14,9.4
15,8.6
16,9.2
17,8.7
18,8.8
19,8.6
20,9.5
21,8.0
22,8.1
23,8.1
24,9.0
25,8.5
26,8.9
27,9.0
28,8.8
29,9.4
